model,split,accuracy,balanced_accuracy,macro_f1
VQC,train,0.9285714285714286,0.9285714285714285,0.9288343337015904
VQC,validation,0.8888888888888888,0.8888888888888888,0.8881118881118882
VQC,test,0.8611111111111112,0.861111111111111,0.8617614269788184
Logistic Regression,train,0.8988095238095238,0.8988095238095237,0.896423228614171
Logistic Regression,validation,0.8888888888888888,0.8888888888888888,0.8878641487337139
Logistic Regression,test,0.9166666666666666,0.9166666666666666,0.9153439153439153
SVM-RBF,train,0.9226190476190477,0.9226190476190476,0.9225634888977531
SVM-RBF,validation,0.9166666666666666,0.9166666666666666,0.9165217391304347
SVM-RBF,test,0.9166666666666666,0.9166666666666666,0.9181671790367442
Random Forest,train,1.0,1.0,1.0
Random Forest,validation,1.0,1.0,1.0
Random Forest,test,0.9722222222222222,0.9722222222222222,0.9721739130434782
MLP,train,1.0,1.0,1.0
MLP,validation,0.9722222222222222,0.9722222222222222,0.9721739130434782
MLP,test,0.9444444444444444,0.9444444444444443,0.9443961352657005
